Country:text,Period:text,Year:year,values:number
France,1992-2017,1993,273
France,1992-2017,1994,211
France,1992-2017,1995,204
France,1992-2017,1996,258
France,1992-2017,1997,261
France,1992-2017,1998,257
France,1992-2017,1999,210
France,1992-2017,2000,222
France,1992-2017,2001,170
France,1992-2017,2002,214
France,1992-2017,2003,207
France,1992-2017,2004,139
France,1992-2017,2005,147
France,1992-2017,2006,140
France,1992-2017,2007,134
France,1992-2017,2008,104
France,1992-2017,2009,96
France,1992-2017,2010,106
France,1992-2017,2011,92
France,1992-2017,2012,80
France,1992-2017,2013,70
France,1992-2017,2014,65
France,1992-2017,2015,59
France,1992-2017,2016,62
France,1992-2017,2017,91
Germany,1992-2017,1992,515
Germany,1992-2017,1993,497
Germany,1992-2017,1994,335
Germany,1992-2017,1995,292
Germany,1992-2017,1996,497
Germany,1992-2017,1997,347
Germany,1992-2017,1998,267
Germany,1992-2017,1999,204
Germany,1992-2017,2000,163
Germany,1992-2017,2001,151
Germany,1992-2017,2002,134
Germany,1992-2017,2003,149
Germany,1992-2017,2004,166
Germany,1992-2017,2005,124
Germany,1992-2017,2006,143
Germany,1992-2017,2007,118
Germany,1992-2017,2008,94
Germany,1992-2017,2009,100
Germany,1992-2017,2010,106
Germany,1992-2017,2011,93
Germany,1992-2017,2012,98
Germany,1992-2017,2013,92
Germany,1992-2017,2014,78
Germany,1992-2017,2015,84
Germany,1992-2017,2016,84
Germany,1992-2017,2017,84
Ireland,1992-2017,1992,54
Ireland,1992-2017,1993,54
Ireland,1992-2017,1994,54
Ireland,1992-2017,1995,56
Ireland,1992-2017,1996,59
Ireland,1992-2017,1997,61
Ireland,1992-2017,1998,53
Ireland,1992-2017,1999,59
Ireland,1992-2017,2000,91
Ireland,1992-2017,2001,59
Ireland,1992-2017,2002,40
Ireland,1992-2017,2003,38
Ireland,1992-2017,2004,37
Ireland,1992-2017,2005,19
Ireland,1992-2017,2006,25
Ireland,1992-2017,2007,32
Ireland,1992-2017,2008,38
Ireland,1992-2017,2009,35
Ireland,1992-2017,2010,50
Ireland,1992-2017,2011,37
Ireland,1992-2017,2012,40
Ireland,1992-2017,2013,34
Ireland,1992-2017,2014,32
Ireland,1992-2017,2015,36
Ireland,1992-2017,2016,32
Ireland,1992-2017,2017,38
Latvia,1992-2017,1992,134
Latvia,1992-2017,1993,128
Latvia,1992-2017,1994,108
Latvia,1992-2017,1995,122
Latvia,1992-2017,1996,147
Latvia,1992-2017,1997,119
Latvia,1992-2017,1998,110
Latvia,1992-2017,1999,97
Latvia,1992-2017,2000,92
Latvia,1992-2017,2001,78
Latvia,1992-2017,2002,84
Latvia,1992-2017,2003,113
Latvia,1992-2017,2004,90
Latvia,1992-2017,2005,82
Latvia,1992-2017,2006,111
Latvia,1992-2017,2007,62
Latvia,1992-2017,2008,59
Latvia,1992-2017,2009,92
Latvia,1992-2017,2010,62
Latvia,1992-2017,2011,55
Latvia,1992-2017,2012,66
Latvia,1992-2017,2013,76
